STR,N° REQ,Item,DESIGNATION,N° BE,OBS,Chargé d'Affaire,N°  et Situation  de Appel Offre,FOURNISSEUR,N°cde,Item cde,BRC  1,Item BRC,BRC  2,Item BRC2,BRC  3,ITEM BRC3,BRC  4,ITEM BRC4,BRC  5,nbre item BRC5,BRC  6,nbre item BRC6,BRC  7,nbre item BRC7,BRC8,nbre item BRC8,BRC9,nbre item BRC9,BRC10,nbre item BRC10,BRC11,nbre item BRC11,BRC12,nbre item BRC12,BRC13,nbre item BRC13,Champ53,Champ54,Champ55,Champ56,Champ57,Champ58,Champ59,Champ60,Champ61,Champ62,Champ63,Champ64,Champ65,Champ66,Champ67,Champ68,Champ69,Champ70,Champ71,Champ72,Champ73,Champ74,Champ75,Champ76,Champ77,Champ78,Champ79,Champ80,Champ81,Champ82,Champ83,Champ84,Champ85,Champ86,Champ87,Champ88,Champ89,Champ90,Champ91,Champ92,Champ93,Champ94,Champ95,Champ96,Champ97,Champ98,Champ99,Champ100,Champ101,Champ102,Champ103,Champ104,Champ105,Champ106,Champ107,Champ108,Champ109,Champ110,Champ111,Champ112,Champ113,Champ114,Champ115,Champ116,Champ117,Champ118,Champ119,Champ120,Champ121,Champ122,Champ123,Champ124,Champ125,Champ126,Champ127,Champ128,Champ129,Champ130,Champ131,Champ132,Champ133,Champ134,Champ135,Champ136,Champ137,Champ138,Champ139,Champ140,Champ141,Champ142,Champ143,Champ144,DATE,DATEE,DATE 1,DATE 2,DATE 3,DATE BRC4,DATE BRC5,DATE BRC6,DATE BRC7,DATE BRC8,DATE BRC9,DATE BRC10,DATE BRC11,DATE BRC12,DATE BRC13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MNT","YN312","80","P/R pour Compresseur centrifuge K501-K201-K603A/B",,"SOLDEE",,,"Dresser Rand sa    France","YN312/A","78","YV3329",,"YB6783",,"YW9232",,"YF8513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/21/93 00:00:00","04/25/94 00:00:00","03/20/95 00:00:00","04/15/96 00:00:00","01/30/96 00:00:00","02/21/97 00:00:00",,,,,,,,,
"MNT","YN313","72","P/R pour Compresseur centrifuge K603A/B-K201-K101",,"SOLDEE",,,"Dresser Rand sa    France","YN313/A","72","YV3339",,"YW9233",,"YB6787",,"YF8510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/21/93 00:00:00","04/25/94 00:00:00","03/20/95 00:00:00","01/30/96 00:00:00","04/15/96 00:00:00","02/24/97 00:00:00",,,,,,,,,
"MNT","YN314","3","P/R pour chauffe eau electrique tropical 200L",,"SOLDEE",,,"ETIRAN / France","A38323","3","YW6701            YC5958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/21/93 00:00:00","11/16/93 00:00:00",,,,,,,,,,,,,
"DEP","YN315","1","Bactericide Inhibiteur de Corosion(Nalco Visco 1153)",,"SOLDEE",,,"NALCO ITALIANA / ROMA Italie","A78868","1","YJ6923","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/23/93 00:00:00","09/04/93 00:00:00","03/31/94 00:00:00",,,,,,,,,,,,
"MNT","YN897","12","TRANSMETTEUR DE PRESSION",,"SOLDEE","MAAMRI","AONI/SH/DP/DAT/048/07/P (membre CEOT TABEK AMAR) etude tehnique  CEOT LE26ET27/10/08 EN OFFRE COMMERCIALE CONTRAT E09/DP-AT/059 WIT SAL ET E09/DP-AT/060 WIT SAL","WIT SAL INC / USA","A96081","12","AU5589","10","AU5591","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/08/06 00:00:00","09/15/09 00:00:00","12/19/00 00:00:00","12/19/11 00:00:00",,,,,,,,,,,
,,,,,,,,"LES AUTOMATIONS APPLIQUES/France","YN901/A","1","YK3597","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/03/08 00:00:00","12/05/09 00:00:00",,,,,,,,,,,,
"EXP","YN906","1","PROCHINOR CL37B TITRE GRATIEUX",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/31/07 00:00:00",,,,,,,,,,,,,,
"DEP","YN910","1","BACTERICIDE THPS BACTIRAM EM 150                   (TITRE GRATIEUX)",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/25/07 00:00:00",,,,,,,,,,,,,,
"DEP","YN914","44","COMPLETION GAS-LIFT(REMPLACE LA YN838)",,"ENCOUR","TOUMI","CONTRAT E07/DP-AT/079   WEATHERFORD","ITEM 31 ET 32 AMORTISSABLE","YN838/A","40","YK7345","26","YK7321","7","YR1143","4","YR6526","4","YK7362","4","YR6720","3","YR6744","5","YJ9415","2","YA2936","1","YA5039","04/02/2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/18/07 00:00:00",,"11/19/08 00:00:00","11/19/08 00:00:00","11/19/10 00:00:00","11/19/10 00:00:00","02/09/11 00:00:00","08/04/11 00:00:00","08/29/11 00:00:00","01/26/12 00:00:00","05/05/14 00:00:00",,,,
"EXP","YN921","3","DESEMULSIFIANT EC 2216A","700","ENCOUR",,"E07/DP/AT/102","NALCO ITALIANA SRL / IALIE","YN921/A","100","YK8157","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/01/07 00:00:00","01/16/08 00:00:00","08/02/08 00:00:00",,,,,,,,,,,,
,,,,,,,,,"YN921/F","160","YV8499","160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/30/08 00:00:00","01/20/09 00:00:00",,,,,,,,,,,,
,,,"PROCHINOR AP 104","300","SOLDEE",,"E07/DP/AT/148","CECA-SA / France","A91016","100","YL9886","72","YL9909","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/16/08 00:00:00","06/07/08 00:00:00","06/12/08 00:00:00",,,,,,,,,,,
"DEP","YN925","3","P/R POUR COMPLETION EN FIBRE DE VERRE",,"SOLDEE",,"E-07/DP-AT/099","PRONTO SUPPLY SA / France","A78886","3","YK8139","1","YK8128","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/16/07 00:00:00","12/03/07 00:00:00","07/19/08 00:00:00","07/19/08 00:00:00",,,,,,,,,,,
"DEP","YN927","58","EQUIPEMENT DE SURFACE (TETE DE PUITS ET P/R)  PREVISION 2011",,"ENCOUR","N,HAMIDOUCHE","CEOT LE 23ET 24/08/09 MEMBRE CEOT HAMOUCHE AMAR","FMC TECHNOLOGIE S.A/France","A95001","36","YA9933","36","YA7049","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/26/08 00:00:00","03/15/11 00:00:00","03/20/14 00:00:00","12/01/14 00:00:00",,,,,,,,,,,
"DEP","YN930","3","EQUIPEMENT DE FOND (PACKER DE PRODUCTION ET ANCHOR SEAL) PREVISION 2012",,"ENCOUR","TOUMI","AONI 070/08/P ATTENTE COP TECHNIQUE MEMBRE CEOT NAMOUNE ET DOGHMANE 1ER CEOT LE 17ET 18/05/09 2EME CEOT LE 28 ET 29/06/09","WETHERFORD / DUBAI   CONTRAT N° E09/DP-AT/141","A90015","3","YA7814","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/26/08 00:00:00","07/07/10 00:00:00","04/15/13 00:00:00",,,,,,,,,,,,
