Erreur,Champ,Ligne
"Champ tronqué","Champ5",326
"Champ tronqué","Champ9",367
"Champ tronqué","Champ9",373
"Champ tronqué","Champ9",374
"Champ tronqué","Champ9",375
"Champ tronqué","Champ5",377
"Champ tronqué","Champ9",401
"Champ tronqué","Champ9",488
"Champ tronqué","Champ9",517
"Champ tronqué","Champ9",531
"Champ tronqué","Champ9",532
"Champ tronqué","Champ9",566
"Champ tronqué","Champ9",579
"Champ tronqué","Champ13",595
"Champ tronqué","Champ9",603
"Champ tronqué","Champ9",606
"Champ tronqué","Champ9",613
"Champ tronqué","Champ9",615
"Champ tronqué","Champ9",619
"Champ tronqué","Champ9",620
"Champ tronqué","Champ9",698
"Champ tronqué","Champ9",699
