DIVISION,N°REQ,CHARGER,S/D,ITEM,DESIGNATION,Delai LIV,N°CDE,Item1,FOURNISSEEUR,N°BRC,ITEM2,statu,N° CONTRAT,EXP/ENC,Champ19,Champ20,Champ21,Champ22,Champ23,Champ24,Champ25,Champ26,Champ27,Champ28,Champ29,Champ30,Champ31,Champ32,Champ33,Champ34,Champ35,Champ36,Champ37,Champ38,Champ39,Champ40,Champ41,Champ42,Champ43,Champ44,Champ45,Champ46,Champ47,Champ48,Champ49,Champ50,Champ51,Champ52,Champ53,Champ54,Champ55,Champ56,Champ57,Champ58,Champ59,Champ60,Champ61,Champ62,Champ63,Champ64,Champ65,Champ66,Champ67,Champ68,Champ69,Champ70,Champ71,Champ72,Champ73,Champ74,Champ75,Champ76,Champ77,Champ78,Champ79,Champ80,Champ81,Champ82,Champ83,Champ84,Champ85,Champ86,Champ87,Champ88,Champ89,Champ90,Champ91,Champ92,Champ93,Champ94,Champ95,Champ96,Champ97,Champ98,Champ99,Champ100,Champ101,Champ102,Champ103,Champ104,Champ105,Champ106,Champ107,Champ108,Champ109,Champ110,Champ111,Champ112,Champ113,Champ114,Champ115,Champ116,Champ117,Champ118,Champ119,Champ120,Champ121,Champ122,Champ123,Champ124,Champ125,Champ126,Champ127,Champ128,Champ129,Champ130,Champ131,Champ132,Champ133,Champ134,Champ135,Champ136,Champ137,Champ138,Champ139,Champ140,Champ141,Champ142,Champ143,Champ144,Champ145,Champ146,Champ147,Champ148,Champ149,Champ150,Champ151,Champ152,Champ153,Champ154,Champ155,Champ156,Champ157,Champ158,Champ159,Champ160,Champ161,Champ162,Champ163,Champ164,Champ165,Champ166,Champ167,Champ168,Champ169,Champ170,Champ171,Champ172,Champ173,Champ174,Champ175,Champ176,Champ177,Champ178,Champ179,Champ180,Champ181,Champ182,Champ183,Champ184,Champ185,Champ186,Champ187,Champ188,Champ189,Champ190,Champ191,Champ192,Champ193,Champ194,Champ195,Champ196,DATE,DATE CED,DATE1
"REAL","YR198",,"S","14","DIVERS CABLES ELECTRIQUES",,"YK147Y","14","EURL HAFA/ALGER","YR6682","4","ENCOUR","HAFA  -I/2009/DAT/73","EXPIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/13/11 00:00:00","07/15/11 00:00:00","07/25/11 00:00:00"
,,,,,,,,,,"YR6733","4","ENCOUR","HAFA  -I/2009/DAT/73","EXPIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/25/11 00:00:00"
"TEL","YR212",,"D","2","BOITE DE JONCTION",,,,,,,"ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/11/11 00:00:00",,
,,,,,,,,,,"YJ9475","3","ENCOUR","CAQ -I/2009/DAT/28","EXPIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/16/12 00:00:00"
"DAT","YR267",,"S","1","BLOUSE",,"YK191Y","1","SNC EL AFRAH (EL OUED)","YJ4632","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/21/11 00:00:00","11/24/11 00:00:00","04/26/12 00:00:00"
"MNT","YR308",,"S","11","VANNE PAPILLON DN150 AVEC P/R",,,,,,,"ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/12/12 00:00:00",,
,,,,,,,"YR341A","1","JOHN CRANE DUBAI","YA4487","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/19/13 00:00:00"
,,,,,,,,,,"YA9913","2","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/00/00 00:00:00"
"INT","YR348",,"D","1","REMPLISSAGE SPHERE GAZ PROPANE",,"YK247Y","1","NAFTAL HMD","YJ4634","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/20/12 00:00:00","03/22/12 00:00:00","05/23/12 00:00:00"
"EXP","YR368",,"D","1","PROPANE LIQUIDE 97% DE PURETE",,"YK265Y","1","NAFTAL HMD","YK0389","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/28/12 00:00:00","05/03/12 00:00:00","05/11/12 00:00:00"
,,,,,,,,,,"YK0410","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/05/12 00:00:00"
"INT","YR487",,"D","1","REMPLISSAGE SPHERE GAZ PROPANE",,,,,,,"ENCOUR","NAFTAL-I/2012/DAT/02","EXPIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/01/12 00:00:00",,
,,,,,,,,,,"YT4682","2","ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/13/10 00:00:00"
"DAT","YR005",,"D","3","P/R POUR GRUE TADANO N°SH:8198 DAT",,"YJ982Y","2","SARL DJERBELLOU TCM/ ALGER","YT4745","2","ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/22/10 00:00:00","06/25/10 00:00:00","07/05/10 00:00:00"
"DAT","YR006",,"D","2","RELAIS POMPE A ESSENCE+RELAI VENT CLIMA  NISSAN N°SH 4N00",,,,,,,"ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/23/10 00:00:00",,
"DAT","YR007",,"D","2","RELAIS POMPE A ESSENCE+RELAI VENT CLIMA  NISSAN N°SH 4N01",,,,,,,"ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/23/10 00:00:00",,
